city,venue,dates,gender,match_type,result,team1,team2,outcome.winner,outcome.runs,outcome.wickets,outcome.method,toss.winner,toss.decision,player_of_match,
1,Brisbane,"Brisbane Cricket Ground, Woolloongabba",1/13/2017,male,ODI,,Australia,Pakistan,Australia,92,0,,Australia,bat,MS Wade
2,,Melbourne Cricket Ground,1/15/2017,male,ODI,,Australia,Pakistan,Pakistan,0,6,,Australia,bat,Mohammad Hafeez
3,Perth,Western Australia Cricket Association Ground,1/19/2017,male,ODI,,Australia,Pakistan,Australia,0,7,,Australia,field,SPD Smith
4,,Sydney Cricket Ground,1/22/2017,male,ODI,,Australia,Pakistan,Australia,86,0,,Australia,bat,DA Warner
5,,Adelaide Oval,1/26/2017,male,ODI,,Australia,Pakistan,Australia,57,0,,Australia,bat,DA Warner
6,,Sydney Cricket Ground,12/4/2016,male,ODI,,Australia,New Zealand,Australia,68,0,,Australia,bat,SPD Smith
7,Canberra,Manuka Oval,12/6/2016,male,ODI,,Australia,New Zealand,Australia,116,0,,New Zealand,field,DA Warner
8,,Melbourne Cricket Ground,12/9/2016,male,ODI,,Australia,New Zealand,Australia,117,0,,Australia,bat,DA Warner
9,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",7/4/2016,male,ODI,,Scotland,Afghanistan,No Result,0,0,,Scotland,field,
10,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",7/6/2016,male,ODI,,Scotland,Afghanistan,Afghanistan,78,0,,Afghanistan,bat,
11,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",9/8/2016,male,ODI,,Scotland,Hong Kong,No Result,0,0,,Hong Kong,field,
12,Edinburgh,"Grange Cricket Club Ground, Raeburn Place",9/10/2016,male,ODI,,Scotland,Hong Kong,Scotland,53,0,,Scotland,bat,
13,,Harare Sports Club,6/11/2016,male,ODI,,Zimbabwe,India,India,0,9,,India,field,KL Rahul
14,,Harare Sports Club,6/13/2016,male,ODI,,Zimbabwe,India,India,0,8,,India,field,YS Chahal
15,,Harare Sports Club,6/15/2016,male,ODI,,Zimbabwe,India,India,0,10,,Zimbabwe,bat,KL Rahul
16,Christchurch,Hagley Oval,12/26/2016,male,ODI,,New Zealand,Bangladesh,New Zealand,77,0,,New Zealand,bat,TWM Latham
17,Nelson,Saxton Oval,12/29/2016,male,ODI,,New Zealand,Bangladesh,New Zealand,67,0,,Bangladesh,field,NT Broom
18,Nelson,Saxton Oval,12/31/2016,male,ODI,,New Zealand,Bangladesh,New Zealand,0,8,,Bangladesh,bat,KS Williamson
19,Auckland,Eden Park,1/30/2017,male,ODI,,New Zealand,Australia,New Zealand,6,0,,Australia,field,MP Stoinis
20,Hamilton,Seddon Park,2/5/2017,male,ODI,,New Zealand,Australia,New Zealand,24,0,,New Zealand,bat,TA Boult
21,Hamilton,Seddon Park,2/19/2017,male,ODI,,New Zealand,South Africa,South Africa,0,4,,South Africa,field,Q de Kock
22,Christchurch,Hagley Oval,2/22/2017,male,ODI,,New Zealand,South Africa,New Zealand,6,0,,South Africa,field,LRPL Taylor
23,Wellington,Westpac Stadium,2/25/2017,male,ODI,,New Zealand,South Africa,South Africa,159,0,,South Africa,bat,AB de Villiers
24,Hamilton,Seddon Park,3/1/2017,male,ODI,,New Zealand,South Africa,New Zealand,0,7,,South Africa,bat,MJ Guptill
25,Auckland,Eden Park,3/4/2017,male,ODI,,New Zealand,South Africa,South Africa,0,6,,South Africa,field,K Rabada
26,London,Kennington Oval,6/1/2017,male,ODI,,England,Bangladesh,England,0,8,,England,field,JE Root
27,Birmingham,Edgbaston,6/2/2017,male,ODI,,Australia,New Zealand,No Result,0,0,,New Zealand,bat,
28,London,Kennington Oval,6/3/2017,male,ODI,,South Africa,Sri Lanka,South Africa,96,0,,Sri Lanka,field,Imran Tahir
29,Birmingham,Edgbaston,6/4/2017,male,ODI,,India,Pakistan,India,124,0,,Pakistan,field,Yuvraj Singh
30,London,Kennington Oval,6/5/2017,male,ODI,,Australia,Bangladesh,No Result,0,0,,Bangladesh,bat,
31,Cardiff,Sophia Gardens,6/6/2017,male,ODI,,England,New Zealand,England,87,0,,New Zealand,field,JT Ball
32,Birmingham,Edgbaston,6/7/2017,male,ODI,,Pakistan,South Africa,Pakistan,19,0,,South Africa,bat,Hasan Ali
33,London,Kennington Oval,6/8/2017,male,ODI,,India,Sri Lanka,Sri Lanka,0,7,,Sri Lanka,field,BKG Mendis
34,Cardiff,Sophia Gardens,6/9/2017,male,ODI,,Bangladesh,New Zealand,Bangladesh,0,5,,New Zealand,bat,Shakib Al Hasan
35,Birmingham,Edgbaston,6/10/2017,male,ODI,,England,Australia,England,40,0,,England,field,BA Stokes
36,London,Kennington Oval,6/11/2017,male,ODI,,India,South Africa,India,0,8,,India,field,JJ Bumrah
37,Cardiff,Sophia Gardens,6/12/2017,male,ODI,,Pakistan,Sri Lanka,Pakistan,0,3,,Pakistan,field,Sarfraz Ahmed
38,Cardiff,Sophia Gardens,6/14/2017,male,ODI,,England,Pakistan,Pakistan,0,8,,Pakistan,field,Hasan Ali
39,Birmingham,Edgbaston,6/15/2017,male,ODI,,Bangladesh,India,India,0,9,,India,field,RG Sharma
40,London,Kennington Oval,6/18/2017,male,ODI,,India,Pakistan,Pakistan,180,0,,India,field,Fakhar Zaman
41,Hong Kong,"Mission Road Ground, Mong Kok",11/4/2016,male,ODI,,Hong Kong,Papua New Guinea,Hong Kong,106,0,,Hong Kong,bat,Babar Hayat
42,Hong Kong,"Mission Road Ground, Mong Kok",11/6/2016,male,ODI,,Hong Kong,Papua New Guinea,Papua New Guinea,14,0,,Papua New Guinea,bat,CA Soper
43,Hong Kong,"Mission Road Ground, Mong Kok",11/8/2016,male,ODI,,Hong Kong,Papua New Guinea,Hong Kong,0,7,,Papua New Guinea,bat,Anshuman Rath
44,Antigua,"Sir Vivian Richards Stadium, North Sound",3/3/2017,male,ODI,,West Indies,England,England,45,0,,West Indies,field,EJG Morgan
45,Antigua,"Sir Vivian Richards Stadium, North Sound",3/5/2017,male,ODI,,West Indies,England,England,0,4,,West Indies,bat,JE Root
46,Barbados,"Kensington Oval, Bridgetown",3/9/2017,male,ODI,,West Indies,England,England,186,0,,West Indies,field,AD Hales
47,Bristol,County Ground,5/5/2017,male,ODI,,England,Ireland,England,0,7,,Ireland,bat,AU Rashid
48,London,Lord's,5/7/2017,male,ODI,,England,Ireland,England,85,0,,Ireland,field,JE Root
49,Mirpur,Shere Bangla National Stadium,10/7/2016,male,ODI,,Bangladesh,England,England,21,0,,England,bat,JT Ball
50,Mirpur,Shere Bangla National Stadium,10/9/2016,male,ODI,,Bangladesh,England,Bangladesh,34,0,,England,field,Mashrafe Mortaza
51,Chittagong,Zahur Ahmed Chowdhury Stadium,10/12/2016,male,ODI,,Bangladesh,England,England,0,4,,England,field,AU Rashid
52,Dharmasala,Himachal Pradesh Cricket Association Stadium,10/16/2016,male,ODI,,India,New Zealand,India,0,6,,India,field,HH Pandya
53,Delhi,Feroz Shah Kotla,10/20/2016,male,ODI,,India,New Zealand,New Zealand,6,0,,India,field,KS Williamson
54,Chandigarh,"Punjab Cricket Association Stadium, Mohali",10/23/2016,male,ODI,,India,New Zealand,India,0,7,,India,field,V Kohli
55,Ranchi,JSCA International Stadium Complex,10/26/2016,male,ODI,,India,New Zealand,New Zealand,19,0,,New Zealand,bat,MJ Guptill
56,Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,10/29/2016,male,ODI,,India,New Zealand,India,190,0,,India,bat,A Mishra
57,Leeds,Headingley,5/24/2017,male,ODI,,England,South Africa,England,72,0,,South Africa,field,MM Ali
58,Southampton,The Rose Bowl,5/27/2017,male,ODI,,England,South Africa,England,2,0,,South Africa,field,BA Stokes
59,London,Lord's,5/29/2017,male,ODI,,England,South Africa,South Africa,0,7,,South Africa,field,K Rabada
60,Dublin,Malahide,5/12/2017,male,ODI,,Ireland,Bangladesh,No Result,0,0,,Ireland,field,
61,Dublin,Malahide,5/14/2017,male,ODI,,Ireland,New Zealand,New Zealand,51,0,,Ireland,field,MJ Santner
62,Dublin,Clontarf Cricket Club Ground,5/17/2017,male,ODI,,Bangladesh,New Zealand,New Zealand,0,4,,New Zealand,field,JDS Neesham
63,Dublin,Malahide,5/19/2017,male,ODI,,Ireland,Bangladesh,Bangladesh,0,8,,Bangladesh,field,Mustafizur Rahman
